subID,model,loss,condition,sample_size,n_params,B_fitted,B_min,B_max,bias_fitted,bias_min,bias_max,bias50_fitted,bias50_min,bias50_max
32,startPoint_0ndt,560.507345026583,condition_80cue,271,3,1.512262545544613,0.5,15.0,0.07979894141072313,0.0,1.0,0.03875699072268857,0.0,1.0
33,startPoint_0ndt,615.815240307885,condition_80cue,276,3,1.633185375361952,0.5,15.0,0.03737031913297856,0.0,1.0,0.10277919922765366,0.0,1.0
35,startPoint_0ndt,675.6576323844059,condition_80cue,414,3,1.2369610317990654,0.5,15.0,0.10721493594363007,0.0,1.0,0.1277816800843728,0.0,1.0
36,startPoint_0ndt,807.8050345626588,condition_80cue,414,3,1.4295436957113248,0.5,15.0,0.06461870003170017,0.0,1.0,0.04349865371161249,0.0,1.0
37,startPoint_0ndt,846.6762481722603,condition_80cue,413,3,1.4811939254251905,0.5,15.0,0.049428294587389454,0.0,1.0,0.10234066047790086,0.0,1.0
38,startPoint_0ndt,871.7576152922774,condition_80cue,414,3,1.604593754847375,0.5,15.0,0.15591809978019522,0.0,1.0,0.08616608913346124,0.0,1.0
39,startPoint_0ndt,836.5565389591917,condition_80cue,408,3,1.4992334055107415,0.5,15.0,0.08210336595166662,0.0,1.0,0.05184348013956114,0.0,1.0
40,startPoint_0ndt,758.1639532955413,condition_80cue,413,3,1.3922984721152412,0.5,15.0,0.15308954082087445,0.0,1.0,0.08229122167351266,0.0,1.0
41,startPoint_0ndt,987.6275977420306,condition_80cue,403,3,1.8249762401287823,0.5,15.0,0.06564654059147002,0.0,1.0,0.06743565927354411,0.0,1.0
42,startPoint_0ndt,986.9663523704876,condition_80cue,391,3,1.9366910660348435,0.5,15.0,0.08835857155267418,0.0,1.0,0.13802936303094693,0.0,1.0
43,startPoint_0ndt,915.7665352755007,condition_80cue,412,3,1.6462650292537717,0.5,15.0,0.09575229710585786,0.0,1.0,0.12419744518424547,0.0,1.0
44,startPoint_0ndt,814.7065552309118,condition_80cue,414,3,1.4748721149674255,0.5,15.0,0.12586208884557903,0.0,1.0,0.1096658242803869,0.0,1.0
45,startPoint_0ndt,965.7177513426568,condition_80cue,403,3,1.7698623567827252,0.5,15.0,0.06244806500583289,0.0,1.0,0.05627384442559191,0.0,1.0
46,startPoint_0ndt,820.9383696758277,condition_80cue,413,3,1.4099523841869996,0.5,15.0,0.02853659313293966,0.0,1.0,0.004019601209375612,0.0,1.0
47,startPoint_0ndt,875.3468096879302,condition_80cue,413,3,1.5763418436740408,0.5,15.0,0.08028261360736677,0.0,1.0,0.12774529674017676,0.0,1.0
48,startPoint_0ndt,1008.8036469528029,condition_80cue,412,3,1.7891281543345845,0.5,15.0,0.12152058232358598,0.0,1.0,0.05859387305793723,0.0,1.0
49,startPoint_0ndt,788.3304553029742,condition_80cue,413,3,1.3721146144729506,0.5,15.0,0.017836953117521426,0.0,1.0,0.08681123755676479,0.0,1.0
50,startPoint_0ndt,582.370813524711,condition_80cue,414,3,1.401800372030222,0.5,15.0,0.4328775635302797,0.0,1.0,0.11369291679638566,0.0,1.0
51,startPoint_0ndt,598.2970586321584,condition_80cue,414,3,1.0478902050427041,0.5,15.0,0.0017639577930945727,0.0,1.0,0.015475238266798585,0.0,1.0
52,startPoint_0ndt,979.4378240011971,condition_80cue,407,3,1.7938427666547152,0.5,15.0,0.0640496345461758,0.0,1.0,0.08692523013048686,0.0,1.0
53,startPoint_0ndt,1035.7546794988582,condition_80cue,412,3,1.8704023605545768,0.5,15.0,0.0660786276501053,0.0,1.0,0.07403313416753426,0.0,1.0
54,startPoint_0ndt,822.6503444305891,condition_80cue,392,3,1.5769326482533579,0.5,15.0,0.1134251431723407,0.0,1.0,0.16251355034695336,0.0,1.0
55,startPoint_0ndt,908.2918102206318,condition_65cue,416,3,1.5622626127223243,0.5,15.0,0.009399170714461058,0.0,1.0,0.01415083639773812,0.0,1.0
56,startPoint_0ndt,708.9272942847174,condition_65cue,416,3,1.1624533187470825,0.5,15.0,0.011664923534789817,0.0,1.0,0.010796016227341332,0.0,1.0
57,startPoint_0ndt,759.2112249607112,condition_65cue,416,3,1.256906707565345,0.5,15.0,0.09554573579837794,0.0,1.0,0.06280549622220832,0.0,1.0
58,startPoint_0ndt,907.7007921211956,condition_65cue,406,3,1.590009158639988,0.5,15.0,0.004494437114058836,0.0,1.0,0.11691276176173893,0.0,1.0
59,startPoint_0ndt,780.6037168699584,condition_65cue,416,3,1.3477331665951482,0.5,15.0,0.0018949171573336976,0.0,1.0,0.05860919737497966,0.0,1.0
60,startPoint_0ndt,754.2304390954929,condition_65cue,414,3,1.249923641647835,0.5,15.0,0.06716430834948417,0.0,1.0,0.04508972487646812,0.0,1.0
61,startPoint_0ndt,949.7653540479748,condition_65cue,413,3,1.6729165763993121,0.5,15.0,0.03851111715445299,0.0,1.0,0.013274469895586727,0.0,1.0
62,startPoint_0ndt,907.9488801533689,condition_65cue,417,3,1.5950000107226,0.5,15.0,0.07291138441923029,0.0,1.0,0.13280620259721043,0.0,1.0
63,startPoint_0ndt,1024.2025571580543,condition_65cue,394,3,1.9534778330033309,0.5,15.0,0.026352467863332008,0.0,1.0,0.015844893617131872,0.0,1.0
64,startPoint_0ndt,820.4995268787417,condition_65cue,414,3,1.4195674655445263,0.5,15.0,0.02545378897980405,0.0,1.0,0.04779713168598215,0.0,1.0
65,startPoint_0ndt,784.3895584649923,condition_65cue,418,3,1.3720956119653813,0.5,15.0,0.04186984936496063,0.0,1.0,0.08050171101375136,0.0,1.0
66,startPoint_0ndt,840.0928972157144,condition_65cue,418,3,1.4306167873637612,0.5,15.0,0.03259254079720664,0.0,1.0,0.07592219842237552,0.0,1.0
67,startPoint_0ndt,971.7533657426628,condition_65cue,377,3,1.9119563228959826,0.5,15.0,0.003458210788703342,0.0,1.0,0.06552971305122163,0.0,1.0
68,startPoint_0ndt,819.0241683830689,condition_65cue,417,3,1.424999959745909,0.5,15.0,0.09964854678945495,0.0,1.0,0.027157995852086947,0.0,1.0
69,startPoint_0ndt,544.6657577644863,condition_65cue,418,3,0.9937398084549836,0.5,15.0,0.002144121630629603,0.0,1.0,0.034652375405031854,0.0,1.0
70,startPoint_0ndt,784.973432278065,condition_65cue,418,3,1.058992273336632,0.5,15.0,0.017896750474445944,0.0,1.0,0.06412272105428302,0.0,1.0
71,startPoint_0ndt,847.6943642257943,condition_65cue,415,3,1.46160780382751,0.5,15.0,0.005223485249348403,0.0,1.0,0.12872097674203725,0.0,1.0
72,startPoint_0ndt,804.5255083855013,condition_65cue,418,3,1.393090590737507,0.5,15.0,0.01762880321119209,0.0,1.0,0.055848374729631556,0.0,1.0
73,startPoint_0ndt,794.1576323000141,condition_65cue,418,3,1.379470078915722,0.5,15.0,0.029243995584038562,0.0,1.0,0.06197653776641543,0.0,1.0
75,startPoint_0ndt,932.6107352868731,condition_65cue,379,3,1.7989330914596071,0.5,15.0,0.009110997239852425,0.0,1.0,0.04430329682584627,0.0,1.0
76,startPoint_0ndt,1043.1863245279455,condition_65cue,413,3,1.8769533958301083,0.5,15.0,0.032373438735593285,0.0,1.0,0.008499144148000348,0.0,1.0
77,startPoint_0ndt,792.3226538743812,condition_65cue,417,3,1.4005730899198783,0.5,15.0,0.06316312642555655,0.0,1.0,0.03271052793716239,0.0,1.0
