subID,model,loss,condition,sample_size,n_params,B_fitted,B_min,B_max,a_fitted,a_min,a_max,b_fitted,b_min,b_max,a50_fitted,a50_min,a50_max,b50_fitted,b50_min,b50_max
32,startPoint_uniform,475.1874136838296,condition_80cue,271,5,2.3108380818000676,0.25,12.0,0.33675781941305183,-0.5,0.5,0.20563055705403513,0.01,0.49,0.16927962517216422,-0.5,0.5,0.045907155612747975,0.01,0.49
33,startPoint_uniform,473.47751064249735,condition_80cue,276,5,2.835408170717194,0.25,12.0,0.08166195784223906,-0.5,0.5,0.49,0.01,0.49,0.43717361167048097,-0.5,0.5,0.36968300606563304,0.01,0.49
35,startPoint_uniform,639.5206221681407,condition_80cue,414,5,1.616997085151925,0.25,12.0,0.26019911141786134,-0.5,0.5,0.1766256860087441,0.01,0.49,-0.03677687747652364,-0.5,0.5,0.3008393023661928,0.01,0.49
36,startPoint_uniform,692.1245161719993,condition_80cue,414,5,2.2394644508485584,0.25,12.0,0.1578988745184079,-0.5,0.5,0.48662823373419495,0.01,0.49,0.4062618993291801,-0.5,0.5,0.1533149365436043,0.01,0.49
37,startPoint_uniform,737.6841473967675,condition_80cue,413,5,2.140268256855205,0.25,12.0,0.07968492134474581,-0.5,0.5,0.35271282161361933,0.01,0.49,0.15606318250078755,-0.5,0.5,0.14631741827888864,0.01,0.49
38,startPoint_uniform,662.1741300304948,condition_80cue,414,5,2.7147124388703943,0.25,12.0,0.49716923372254684,-0.5,0.5,0.4798458042135058,0.01,0.49,0.4946427364502164,-0.5,0.5,0.2025336574492176,0.01,0.49
39,startPoint_uniform,710.3221807737483,condition_80cue,408,5,2.3426236600232206,0.25,12.0,0.25926645941846205,-0.5,0.5,0.40734327928378716,0.01,0.49,0.20890199798979414,-0.5,0.5,0.22039284565138428,0.01,0.49
40,startPoint_uniform,661.0501611474077,condition_80cue,413,5,2.141684277810774,0.25,12.0,0.41748643251896944,-0.5,0.5,0.4454518926297921,0.01,0.49,0.30456973775497564,-0.5,0.5,0.17981452032061007,0.01,0.49
41,startPoint_uniform,643.3304247861573,condition_80cue,403,5,3.72850748554672,0.25,12.0,0.12589293852461603,-0.5,0.5,0.477616507261291,0.01,0.49,0.2384482233844406,-0.5,0.5,0.21685058493751336,0.01,0.49
42,startPoint_uniform,491.5053777535298,condition_80cue,391,5,4.851727021024717,0.25,12.0,0.3313676334700669,-0.5,0.5,0.4843469668401472,0.01,0.49,0.46104839294698685,-0.5,0.5,0.4423317617544825,0.01,0.49
43,startPoint_uniform,688.2740483575169,condition_80cue,412,5,2.928898965238721,0.25,12.0,0.31209156119963377,-0.5,0.5,0.48299038175288034,0.01,0.49,0.44642404495494403,-0.5,0.5,0.304827333255211,0.01,0.49
44,startPoint_uniform,674.7104371330627,condition_80cue,414,5,2.436047280662289,0.25,12.0,0.43691542987878806,-0.5,0.5,0.4753084372034377,0.01,0.49,0.3707862452704862,-0.5,0.5,0.4834280036288451,0.01,0.49
45,startPoint_uniform,680.6900212193179,condition_80cue,403,5,3.3103961179355754,0.25,12.0,0.12032613817715954,-0.5,0.5,0.49,0.01,0.49,0.379726581985263,-0.5,0.5,0.1580159997219318,0.01,0.49
46,startPoint_uniform,749.5125912985889,condition_80cue,413,5,1.7757752353383056,0.25,12.0,0.07609521907938455,-0.5,0.5,0.025320423544140103,0.01,0.49,-0.016770033996271305,-0.5,0.5,0.06279422552819333,0.01,0.49
47,startPoint_uniform,660.91246248899,condition_80cue,413,5,2.8650364833953503,0.25,12.0,0.248601321289449,-0.5,0.5,0.4882717625479919,0.01,0.49,0.4493941811495966,-0.5,0.5,0.440246633129858,0.01,0.49
48,startPoint_uniform,667.7337859822418,condition_80cue,412,5,3.7719714520533834,0.25,12.0,0.3144032904760037,-0.5,0.5,0.48526734150617046,0.01,0.49,0.3751211463274937,-0.5,0.5,0.24087867414807237,0.01,0.49
49,startPoint_uniform,721.393581521686,condition_80cue,413,5,1.821557904336391,0.25,12.0,-0.020487612184047654,-0.5,0.5,0.2576969169969317,0.01,0.49,0.05866002583698382,-0.5,0.5,0.07266245041754094,0.01,0.49
50,startPoint_uniform,546.8881791488288,condition_80cue,414,5,1.4927263838346896,0.25,12.0,0.4983905740929362,-0.5,0.5,0.19810049612788225,0.01,0.49,0.013975583337893172,-0.5,0.5,0.20866598654829363,0.01,0.49
51,startPoint_uniform,591.8943812969713,condition_80cue,414,5,1.0809957532293737,0.25,12.0,-0.016578844810428095,-0.5,0.5,0.049012472198963195,0.01,0.49,-0.08277211827822151,-0.5,0.5,0.06232011773229746,0.01,0.49
52,startPoint_uniform,634.4035682103734,condition_80cue,407,5,3.652269900332941,0.25,12.0,0.20836763546353854,-0.5,0.5,0.4866321315284685,0.01,0.49,0.3276334822313991,-0.5,0.5,0.4888301603560074,0.01,0.49
53,startPoint_uniform,645.780318349533,condition_80cue,412,5,3.9744263969812788,0.25,12.0,0.1499727005469379,-0.5,0.5,0.489346863266204,0.01,0.49,0.29057514835574927,-0.5,0.5,0.2544359720014556,0.01,0.49
54,startPoint_uniform,623.1107130231169,condition_80cue,392,5,2.819171829332823,0.25,12.0,0.42847066028173453,-0.5,0.5,0.48637858733888717,0.01,0.49,0.4895220153979458,-0.5,0.5,0.3614397010690882,0.01,0.49
55,startPoint_uniform,767.539162285653,condition_65cue,416,5,2.3384182820268977,0.25,12.0,-0.1585819558675421,-0.5,0.5,0.04757068185993263,0.01,0.49,-0.22657633828312213,-0.5,0.5,0.3355007957008441,0.01,0.49
56,startPoint_uniform,693.885031617935,condition_65cue,416,5,1.2460678124874427,0.25,12.0,-0.07129634658972644,-0.5,0.5,0.04134676328529423,0.01,0.49,-0.018335959694762705,-0.5,0.5,0.09297676105154656,0.01,0.49
57,startPoint_uniform,728.5338053984741,condition_65cue,416,5,1.4489468909398875,0.25,12.0,0.18830636375678766,-0.5,0.5,0.05840671308227501,0.01,0.49,-0.10952571353808038,-0.5,0.5,0.20637926592071987,0.01,0.49
58,startPoint_uniform,766.812412019837,condition_65cue,406,5,2.291170378888002,0.25,12.0,-0.02103511264593172,-0.5,0.5,0.05094850724252472,0.01,0.49,0.18629527455417294,-0.5,0.5,0.18339540061605403,0.01,0.49
59,startPoint_uniform,713.4594936932085,condition_65cue,416,5,1.877052929320783,0.25,12.0,0.01945515385242269,-0.5,0.5,0.42612674726152966,0.01,0.49,0.28801120408458747,-0.5,0.5,0.23551403547270225,0.01,0.49
60,startPoint_uniform,726.9941021544948,condition_65cue,414,5,1.4275394891532924,0.25,12.0,0.15214494796687084,-0.5,0.5,0.04123465535858977,0.01,0.49,-0.017375239399544107,-0.5,0.5,0.17290855401455224,0.01,0.49
61,startPoint_uniform,739.9195216548362,condition_65cue,413,5,2.821206482379881,0.25,12.0,0.08736226543726877,-0.5,0.5,0.1463260959552918,0.01,0.49,0.003823908861970704,-0.5,0.5,0.10063930113410756,0.01,0.49
62,startPoint_uniform,714.3770759279877,condition_65cue,417,5,2.7134369287694944,0.25,12.0,0.25177774186366,-0.5,0.5,0.4884595060705254,0.01,0.49,0.4078817570581327,-0.5,0.5,0.4781690930270664,0.01,0.49
63,startPoint_uniform,523.8393068199688,condition_65cue,394,5,4.99249044038983,0.25,12.0,0.13760119244039537,-0.5,0.5,0.48968960517791416,0.01,0.49,0.13724642991574398,-0.5,0.5,0.38354604593939023,0.01,0.49
64,startPoint_uniform,723.6049680296895,condition_65cue,414,5,2.1307670465681423,0.25,12.0,0.06646172329992861,-0.5,0.5,0.4726555341106903,0.01,0.49,0.2902576545058727,-0.5,0.5,0.23987221447786078,0.01,0.49
65,startPoint_uniform,675.8801010402472,condition_65cue,418,5,2.1838929318556763,0.25,12.0,0.09070943371994633,-0.5,0.5,0.48983507870904264,0.01,0.49,0.4906386041135823,-0.5,0.5,0.1445150502627384,0.01,0.49
66,startPoint_uniform,759.1973249882844,condition_65cue,418,5,1.8870297255162676,0.25,12.0,0.08082515567864756,-0.5,0.5,0.09782544346481402,0.01,0.49,0.1640112277667578,-0.5,0.5,0.07552308984136714,0.01,0.49
67,startPoint_uniform,540.6815300790265,condition_65cue,377,5,4.765915172711679,0.25,12.0,-0.025112939341541296,-0.5,0.5,0.48999572340702446,0.01,0.49,0.43904245110643125,-0.5,0.5,0.15451027459069513,0.01,0.49
68,startPoint_uniform,733.4804697465252,condition_65cue,417,5,1.960677048425544,0.25,12.0,0.27465821210476027,-0.5,0.5,0.2602126997498553,0.01,0.49,0.04128165175427967,-0.5,0.5,0.08313802996989075,0.01,0.49
69,startPoint_uniform,540.764508082428,condition_65cue,418,5,1.0075512284931234,0.25,12.0,-0.006349199322659371,-0.5,0.5,0.01709935054374353,0.01,0.49,0.006466472908745802,-0.5,0.5,0.1483167973042794,0.01,0.49
70,startPoint_uniform,778.0431992386336,condition_65cue,418,5,1.0608553623358583,0.25,12.0,0.028603795439524626,-0.5,0.5,0.02383064901142091,0.01,0.49,-0.026599705290923925,-0.5,0.5,0.25276116139067945,0.01,0.49
71,startPoint_uniform,703.6045351860589,condition_65cue,415,5,2.3319439705675093,0.25,12.0,0.08345072600997772,-0.5,0.5,0.4883930329985699,0.01,0.49,0.4748645606829912,-0.5,0.5,0.2828713009094432,0.01,0.49
72,startPoint_uniform,727.3906993400798,condition_65cue,418,5,1.8932558928234196,0.25,12.0,0.06963831982752688,-0.5,0.5,0.23436501482669722,0.01,0.49,0.16140456831120398,-0.5,0.5,0.12124707880588645,0.01,0.49
73,startPoint_uniform,702.8858307988763,condition_65cue,418,5,2.0274245647453526,0.25,12.0,0.06582524961691039,-0.5,0.5,0.4485318828572965,0.01,0.49,0.11973798830970162,-0.5,0.5,0.4101670116736108,0.01,0.49
75,startPoint_uniform,622.7806749036464,condition_65cue,379,5,3.6715001861598875,0.25,12.0,0.07658021622756606,-0.5,0.5,0.48241990988160305,0.01,0.49,0.21932084276727093,-0.5,0.5,0.1662690263029294,0.01,0.49
76,startPoint_uniform,648.1020349147875,condition_65cue,413,5,4.196661624244637,0.25,12.0,0.04456920086280913,-0.5,0.5,0.4043631633785927,0.01,0.49,-0.15327424812203216,-0.5,0.5,0.1920027143264167,0.01,0.49
77,startPoint_uniform,703.8352203605933,condition_65cue,417,5,2.0796595445926043,0.25,12.0,0.15530789988597316,-0.5,0.5,0.4710623262064556,0.01,0.49,0.10757745879975333,-0.5,0.5,0.45414396606298363,0.01,0.49
