subID,model,loss,condition,sample_size,n_params,drift_fitted,drift_min,drift_max,B_fitted,B_min,B_max,nondectime_fitted,nondectime_min,nondectime_max
32,visionOnly,107.47208189895517,condition_80cue,75,3,1.0982237752534527,0.0,15.0,1.2411765263020194,0.5,12.0,0.9089817946939255,0.01,1.5
33,visionOnly,82.54016242993731,condition_80cue,78,3,1.1302389831504023,0.0,15.0,0.7842040474047846,0.5,12.0,0.7738864478927557,0.01,1.5
35,visionOnly,5.520385110870247,condition_80cue,80,3,1.4692613752281363,0.0,15.0,0.5494518827116073,0.5,12.0,0.38342078331724644,0.01,1.5
36,visionOnly,89.35382158538627,condition_80cue,78,3,1.0777694924958379,0.0,15.0,1.0294050859053336,0.5,12.0,0.6503678343607675,0.01,1.5
37,visionOnly,85.0091512135473,condition_80cue,78,3,1.0081137415190449,0.0,15.0,0.8958958224018048,0.5,12.0,0.4942590053472759,0.01,1.5
38,visionOnly,133.2554946349209,condition_80cue,79,3,0.8093995125636558,0.0,15.0,1.1628517359560921,0.5,12.0,0.6477825385848109,0.01,1.5
39,visionOnly,92.22262966451997,condition_80cue,79,3,0.7760194885393962,0.0,15.0,0.8870946028372368,0.5,12.0,0.4665079079723728,0.01,1.5
40,visionOnly,60.281188371270495,condition_80cue,79,3,1.0069936349795428,0.0,15.0,0.7008252338645347,0.5,12.0,0.5999620093228336,0.01,1.5
41,visionOnly,99.72699479259495,condition_80cue,78,3,0.971582487704682,0.0,15.0,0.9520457353053877,0.5,12.0,0.8672819620457493,0.01,1.5
42,visionOnly,132.7947136682187,condition_80cue,75,3,0.703248595135097,0.0,15.0,1.2733769369015717,0.5,12.0,0.5919490219871895,0.01,1.5
43,visionOnly,82.12701418550586,condition_80cue,79,3,1.2407561964324483,0.0,15.0,0.9322610122750125,0.5,12.0,0.4019529772937699,0.01,1.5
44,visionOnly,44.3649620142283,condition_80cue,80,3,0.8601822759761014,0.0,15.0,0.6707920002920165,0.5,12.0,0.41681683424186144,0.01,1.5
45,visionOnly,125.5365984605932,condition_80cue,78,3,0.786932804973715,0.0,15.0,1.154643055828514,0.5,12.0,0.7244946758482573,0.01,1.5
46,visionOnly,63.73818671387333,condition_80cue,79,3,0.8265293158133669,0.0,15.0,0.7286512790638456,0.5,12.0,0.4710068217866258,0.01,1.5
47,visionOnly,62.58499242415681,condition_80cue,78,3,1.1759712131417488,0.0,15.0,0.8433361707227776,0.5,12.0,0.7184896843422858,0.01,1.5
48,visionOnly,111.33510521061417,condition_80cue,78,3,0.563491825431829,0.0,15.0,0.9970869991436777,0.5,12.0,0.608843865828668,0.01,1.5
49,visionOnly,119.56234092386741,condition_80cue,80,3,0.9600909059680724,0.0,15.0,1.152172445542784,0.5,12.0,0.2156882226410859,0.01,1.5
50,visionOnly,77.33277711360881,condition_80cue,78,3,0.9411990940381035,0.0,15.0,0.8518237528942504,0.5,12.0,0.6052743406766468,0.01,1.5
51,visionOnly,48.40446600307548,condition_80cue,79,3,1.1692124527936683,0.0,15.0,0.6600878635792311,0.5,12.0,0.5988488248983231,0.01,1.5
52,visionOnly,62.02894094574113,condition_80cue,79,3,1.2402212227634077,0.0,15.0,0.804142008011825,0.5,12.0,0.5623790985552859,0.01,1.5
53,visionOnly,115.8548964480946,condition_80cue,79,3,0.8062889991407806,0.0,15.0,1.0765815932789131,0.5,12.0,0.5008824624010733,0.01,1.5
54,visionOnly,79.69567891995595,condition_80cue,79,3,0.595225456055864,0.0,15.0,0.7511164267744831,0.5,12.0,0.5701457725090101,0.01,1.5
55,visionOnly,80.78110177768983,condition_65cue,77,3,0.7144419935516806,0.0,15.0,0.8381630873506213,0.5,12.0,0.4201331825223069,0.01,1.5
56,visionOnly,94.06077564868515,condition_65cue,79,3,1.032407791757496,0.0,15.0,0.997458886764804,0.5,12.0,0.5061015268310488,0.01,1.5
57,visionOnly,95.81633706260226,condition_65cue,79,3,0.3682358099913393,0.0,15.0,0.8809904432991803,0.5,12.0,0.4462872321279447,0.01,1.5
58,visionOnly,110.46370951997893,condition_65cue,79,3,0.7276009884167005,0.0,15.0,1.0353720666011077,0.5,12.0,0.5361131671819732,0.01,1.5
59,visionOnly,136.5194642293898,condition_65cue,78,3,0.5005239618009606,0.0,15.0,1.201304428209773,0.5,12.0,0.3029030631133219,0.01,1.5
60,visionOnly,93.73632852223275,condition_65cue,64,3,1.1492399265691378,0.0,15.0,1.327854586984985,0.5,12.0,1.0078668273850733,0.01,1.5
61,visionOnly,58.486271195209945,condition_65cue,79,3,0.5080321136726322,0.0,15.0,0.632968430687071,0.5,12.0,0.8055544045827931,0.01,1.5
62,visionOnly,88.82487497369993,condition_65cue,79,3,0.8966996129915192,0.0,15.0,0.9464398120370242,0.5,12.0,0.6461766402983866,0.01,1.5
63,visionOnly,87.45356085205337,condition_65cue,78,3,1.411721118959217,0.0,15.0,1.034946133962893,0.5,12.0,0.9155482229089416,0.01,1.5
64,visionOnly,104.98040167477366,condition_65cue,79,3,0.8463682876861418,0.0,15.0,1.005291128866019,0.5,12.0,0.4334468601014272,0.01,1.5
65,visionOnly,65.87834263449939,condition_65cue,79,3,0.9887632027444415,0.0,15.0,0.7960267021575614,0.5,12.0,0.39766451844348416,0.01,1.5
66,visionOnly,45.383701428496,condition_65cue,79,3,1.2355471904246946,0.0,15.0,0.7098626003072689,0.5,12.0,0.48113825157337153,0.01,1.5
67,visionOnly,95.54560821840121,condition_65cue,79,3,0.8445317589056773,0.0,15.0,0.9650661146751628,0.5,12.0,0.6325586504661718,0.01,1.5
68,visionOnly,85.83171261995092,condition_65cue,79,3,1.1068300248818488,0.0,15.0,0.9474597063452351,0.5,12.0,0.8504931614218554,0.01,1.5
69,visionOnly,31.3486673838199,condition_65cue,80,3,0.19812943165338545,0.0,15.0,0.5349442618314786,0.5,12.0,0.06398031603545928,0.01,1.5
70,visionOnly,102.61593419470928,condition_65cue,78,3,0.9876967926691185,0.0,15.0,1.0147062535822369,0.5,12.0,0.6085439268071349,0.01,1.5
71,visionOnly,70.3398063795502,condition_65cue,79,3,0.7871622437370233,0.0,15.0,0.7905464105226092,0.5,12.0,0.47203258785887914,0.01,1.5
72,visionOnly,74.65085961860717,condition_65cue,79,3,1.2430384972288517,0.0,15.0,0.8061091081517807,0.5,12.0,0.9602051639986782,0.01,1.5
