subID,block,trial,image,imageIdx,cue,congruent,response,accuracy,RT,cueDuration,learningRound
 21, 1, 1, S2-19.jpg, 2, 2, blue, 1, 2, 1, 0.7360, 1.2500, 2
 21, 1, 2, S2-19.jpg, 2, 2, blue, 1, 2, 1, 0.9956, 3.2500, 2
 21, 1, 3, S1-15.jpg, 1, 1, red, 1, 2, 0, 1.4164, 1.2833, 2
 21, 1, 4, S1-15.jpg, 1, 3, yellow, NaN, 2, 0, 0.4997, 1.5500, 2
 21, 1, 5, S2-19.jpg, 2, 3, yellow, NaN, 2, 1, 0.6370, 1.4000, 2
 21, 1, 6, S2-19.jpg, 2, 2, blue, 1, 2, 1, 0.5634, 1.2500, 2
 21, 1, 7, S1-15.jpg, 1, 1, red, 1, 2, 0, 0.3205, 1.3167, 2
 21, 1, 8, S2-19.jpg, 2, 2, blue, 1, 2, 1, 0.7454, 1.4333, 2
 21, 1, 9, S1-15.jpg, 1, 1, red, 1, 1, 1, 0.5352, 1.3333, 2
 21, 1, 10, S1-15.jpg, 1, 1, red, 1, 1, 1, 0.5362, 1.2500, 2
 21, 1, 11, S1-15.jpg, 1, 3, yellow, NaN, 2, 0, 0.4928, 1.3500, 2
 21, 1, 12, S1-15.jpg, 1, 3, yellow, NaN, 2, 0, 0.5178, 1.5833, 2
 21, 1, 13, S2-19.jpg, 2, 1, red, 0, 2, 1, 0.5973, 1.2500, 2
 21, 1, 14, S2-19.jpg, 2, 2, blue, 1, 2, 1, 0.6019, 1.4500, 2
 21, 1, 15, S2-19.jpg, 2, 3, yellow, NaN, 2, 1, 0.9744, 1.3000, 2
 21, 1, 16, S2-19.jpg, 2, 3, yellow, NaN, 1, 0, 0.7057, 1.5667, 2
 21, 1, 17, S1-15.jpg, 1, 1, red, 1, 2, 0, 0.4419, 1.5000, 2
 21, 1, 18, S2-19.jpg, 2, 2, blue, 1, 2, 1, 0.6759, 1.4833, 2
 21, 1, 19, S1-15.jpg, 1, 2, blue, 0, 2, 0, 1.0793, 1.2500, 2
 21, 1, 20, S1-15.jpg, 1, 1, red, 1, 1, 1, 0.8368, 1.2500, 2
 21, 1, 21, S1-15.jpg, 1, 1, red, 1, 1, 1, 0.4650, 1.3667, 2
 21, 1, 22, S1-15.jpg, 1, 3, yellow, NaN, 2, 0, 0.5776, 1.2500, 2
 21, 1, 23, S2-19.jpg, 2, 2, blue, 1, 2, 1, 0.9018, 1.5167, 2
 21, 1, 24, S2-19.jpg, 2, 3, yellow, NaN, 1, 0, 0.6240, 1.4167, 2
 21, 1, 25, S2-19.jpg, 2, 3, yellow, NaN, 2, 1, 0.4782, 1.2500, 2
 21, 1, 26, S1-15.jpg, 1, 3, yellow, NaN, 1, 1, 0.5942, 1.4667, 2
 21, 1, 27, S2-19.jpg, 2, 2, blue, 1, 2, 1, 0.3818, 1.6000, 2
 21, 1, 28, S2-19.jpg, 2, 1, red, 0, 1, 0, 0.6209, 1.3833, 2
 21, 1, 29, S1-15.jpg, 1, 2, blue, 0, 2, 0, 0.6761, 1.5333, 2
 21, 1, 30, S1-15.jpg, 1, 1, red, 1, 1, 1, 0.5255, 1.6167, 2
 21, 1, 1, S2-19.jpg, 2, 2, blue, 1, 2, 1, 0.3546, 1.2500, 2
 21, 1, 2, S2-19.jpg, 2, 2, blue, 1, 2, 1, 0.5593, 3.2500, 2
 21, 1, 3, S1-15.jpg, 1, 1, red, 1, 1, 1, 0.4045, 1.2833, 2
 21, 1, 4, S1-15.jpg, 1, 3, yellow, NaN, 1, 1, 0.6717, 1.5500, 2
 21, 1, 5, S2-19.jpg, 2, 3, yellow, NaN, 2, 1, 1.2643, 1.4000, 2
 21, 1, 6, S2-19.jpg, 2, 2, blue, 1, 2, 1, 0.5181, 1.2500, 2
 21, 1, 7, S1-15.jpg, 1, 1, red, 1, 2, 0, 0.3471, 1.3167, 2
 21, 1, 8, S2-19.jpg, 2, 2, blue, 1, 2, 1, 0.7402, 1.4333, 2
 21, 1, 9, S1-15.jpg, 1, 1, red, 1, 2, 0, 0.8819, 1.3333, 2
 21, 1, 10, S1-15.jpg, 1, 1, red, 1, 1, 1, 0.2673, 1.2500, 2
 21, 1, 11, S1-15.jpg, 1, 3, yellow, NaN, 2, 0, 0.5832, 1.3500, 2
 21, 1, 12, S1-15.jpg, 1, 3, yellow, NaN, 1, 1, 0.2716, 1.5833, 2
 21, 1, 13, S2-19.jpg, 2, 1, red, 0, 1, 0, 0.8314, 1.2500, 2
 21, 1, 14, S2-19.jpg, 2, 2, blue, 1, 2, 1, 0.5399, 1.4500, 2
 21, 1, 15, S2-19.jpg, 2, 3, yellow, NaN, 2, 1, 1.1604, 1.3000, 2
 21, 1, 16, S2-19.jpg, 2, 3, yellow, NaN, 1, 0, 0.6112, 1.5667, 2
 21, 1, 17, S1-15.jpg, 1, 1, red, 1, 2, 0, 0.6520, 1.5000, 2
 21, 1, 18, S2-19.jpg, 2, 2, blue, 1, 1, 0, 1.4062, 1.4833, 2
 21, 1, 19, S1-15.jpg, 1, 2, blue, 0, 2, 0, 0.4980, 1.2500, 2
 21, 1, 20, S1-15.jpg, 1, 1, red, 1, 2, 0, 1.4664, 1.2500, 2
 21, 1, 21, S1-15.jpg, 1, 1, red, 1, 1, 1, 0.4903, 1.3667, 2
 21, 1, 22, S1-15.jpg, 1, 3, yellow, NaN, 2, 0, 0.5948, 1.2500, 2
 21, 1, 23, S2-19.jpg, 2, 2, blue, 1, 2, 1, 0.7596, 1.5167, 2
 21, 1, 24, S2-19.jpg, 2, 3, yellow, NaN, 2, 1, 1.4998, 1.4167, 2
 21, 1, 25, S2-19.jpg, 2, 3, yellow, NaN, 2, 1, 0.5595, 1.2500, 2
 21, 1, 26, S1-15.jpg, 1, 3, yellow, NaN, 1, 1, 0.8437, 1.4667, 2
 21, 1, 27, S2-19.jpg, 2, 2, blue, 1, 2, 1, 0.5124, 1.6000, 2
 21, 1, 28, S2-19.jpg, 2, 1, red, 0, 1, 0, 0.6071, 1.3833, 2
 21, 1, 29, S1-15.jpg, 1, 2, blue, 0, 2, 0, 0.5186, 1.5333, 2
 21, 1, 30, S1-15.jpg, 1, 1, red, 1, 1, 1, 0.5588, 1.6167, 2
 21, 1, 1, S2-19.jpg, 2, 2, blue, 1, 2, 1, 0.5475, 1.2500, 2
 21, 1, 2, S2-19.jpg, 2, 2, blue, 1, 2, 1, 0.3289, 3.2500, 2
 21, 1, 3, S1-15.jpg, 1, 1, red, 1, 2, 0, 0.8138, 1.2833, 2
 21, 1, 4, S1-15.jpg, 1, 3, yellow, NaN, 1, 1, 1.4400, 1.5500, 2
 21, 1, 5, S2-19.jpg, 2, 3, yellow, NaN, 1, 0, 0.4567, 1.4000, 2
 21, 1, 6, S2-19.jpg, 2, 2, blue, 1, 2, 1, 0.5274, 1.2500, 2
 21, 1, 7, S1-15.jpg, 1, 1, red, 1, 1, 1, 0.5165, 1.3167, 2
 21, 1, 8, S2-19.jpg, 2, 2, blue, 1, 1, 0, 0.3582, 1.4333, 2
 21, 1, 9, S1-15.jpg, 1, 1, red, 1, 2, 0, 0.2838, 1.3333, 2
 21, 1, 10, S1-15.jpg, 1, 1, red, 1, 2, 0, 0.3970, 1.2500, 2
 21, 1, 11, S1-15.jpg, 1, 3, yellow, NaN, 2, 0, 0.5527, 1.3500, 2
 21, 1, 12, S1-15.jpg, 1, 3, yellow, NaN, 1, 1, 0.3534, 1.5833, 2
 21, 1, 13, S2-19.jpg, 2, 1, red, 0, 2, 1, 0.7852, 1.2500, 2
 21, 1, 14, S2-19.jpg, 2, 2, blue, 1, 2, 1, 0.4771, 1.4500, 2
 21, 1, 15, S2-19.jpg, 2, 3, yellow, NaN, 2, 1, 0.5454, 1.3000, 2
 21, 1, 16, S2-19.jpg, 2, 3, yellow, NaN, 2, 1, 0.8443, 1.5667, 2
 21, 1, 17, S1-15.jpg, 1, 1, red, 1, 1, 1, 0.3965, 1.5000, 2
 21, 1, 18, S2-19.jpg, 2, 2, blue, 1, 2, 1, 0.5992, 1.4833, 2
 21, 1, 19, S1-15.jpg, 1, 2, blue, 0, 2, 0, 0.7541, 1.2500, 2
 21, 1, 20, S1-15.jpg, 1, 1, red, 1, 1, 1, 1.0459, 1.2500, 2
 21, 1, 21, S1-15.jpg, 1, 1, red, 1, 1, 1, 1.1709, 1.3667, 2
 21, 1, 22, S1-15.jpg, 1, 3, yellow, NaN, 1, 1, 0.2822, 1.2500, 2
 21, 1, 23, S2-19.jpg, 2, 2, blue, 1, 2, 1, 0.4065, 1.5167, 2
 21, 1, 24, S2-19.jpg, 2, 3, yellow, NaN, 2, 1, 0.7280, 1.4167, 2
 21, 1, 25, S2-19.jpg, 2, 3, yellow, NaN, 1, 0, 0.7025, 1.2500, 2
 21, 1, 26, S1-15.jpg, 1, 3, yellow, NaN, 1, 1, 0.5791, 1.4667, 2
 21, 1, 27, S2-19.jpg, 2, 2, blue, 1, 2, 1, 0.4869, 1.6000, 2
 21, 1, 28, S2-19.jpg, 2, 1, red, 0, 1, 0, 0.5259, 1.3833, 2
 21, 1, 29, S1-15.jpg, 1, 2, blue, 0, 2, 0, 0.5412, 1.5333, 2
 21, 1, 30, S1-15.jpg, 1, 1, red, 1, 1, 1, 0.5895, 1.6167, 2
 21, 1, 1, S2-19.jpg, 2, 2, blue, 1, 2, 1, 0.8661, 1.2500, 2
 21, 1, 2, S2-19.jpg, 2, 2, blue, 1, 2, 1, 0.5110, 3.2500, 2
 21, 1, 3, S1-15.jpg, 1, 1, red, 1, 2, 0, 0.6440, 1.2833, 2
 21, 1, 4, S1-15.jpg, 1, 3, yellow, NaN, 1, 1, 2.1828, 1.5500, 2
 21, 1, 5, S2-19.jpg, 2, 3, yellow, NaN, 2, 1, 0.8002, 1.4000, 2
 21, 1, 6, S2-19.jpg, 2, 2, blue, 1, 2, 1, 0.5826, 1.2500, 2
 21, 1, 7, S1-15.jpg, 1, 1, red, 1, 1, 1, 0.5236, 1.3167, 2
 21, 1, 8, S2-19.jpg, 2, 2, blue, 1, 2, 1, 0.5971, 1.4333, 2
 21, 1, 9, S1-15.jpg, 1, 1, red, 1, 1, 1, 0.4665, 1.3333, 2
 21, 1, 10, S1-15.jpg, 1, 1, red, 1, 1, 1, 0.3560, 1.2500, 2
 21, 1, 11, S1-15.jpg, 1, 3, yellow, NaN, 1, 1, 0.3528, 1.3500, 2
 21, 1, 12, S1-15.jpg, 1, 3, yellow, NaN, 1, 1, 0.2484, 1.5833, 2
 21, 1, 13, S2-19.jpg, 2, 1, red, 0, 2, 1, 0.3203, 1.2500, 2
 21, 1, 14, S2-19.jpg, 2, 2, blue, 1, 2, 1, 0.5970, 1.4500, 2
 21, 1, 15, S2-19.jpg, 2, 3, yellow, NaN, 2, 1, 0.2813, 1.3000, 2
 21, 1, 16, S2-19.jpg, 2, 3, yellow, NaN, 2, 1, 0.5070, 1.5667, 2
 21, 1, 17, S1-15.jpg, 1, 1, red, 1, 1, 1, 0.2916, 1.5000, 2
 21, 1, 18, S2-19.jpg, 2, 2, blue, 1, 2, 1, 0.6865, 1.4833, 2
 21, 1, 19, S1-15.jpg, 1, 2, blue, 0, 2, 0, 0.6018, 1.2500, 2
 21, 1, 20, S1-15.jpg, 1, 1, red, 1, 1, 1, 0.4622, 1.2500, 2
 21, 1, 21, S1-15.jpg, 1, 1, red, 1, 1, 1, 0.4834, 1.3667, 2
 21, 1, 22, S1-15.jpg, 1, 3, yellow, NaN, 2, 0, 0.5792, 1.2500, 2
 21, 1, 23, S2-19.jpg, 2, 2, blue, 1, 2, 1, 0.5358, 1.5167, 2
 21, 1, 24, S2-19.jpg, 2, 3, yellow, NaN, 2, 1, 0.2744, 1.4167, 2
 21, 1, 25, S2-19.jpg, 2, 3, yellow, NaN, 1, 0, 0.6559, 1.2500, 2
 21, 1, 26, S1-15.jpg, 1, 3, yellow, NaN, 1, 1, 0.3005, 1.4667, 2
 21, 1, 27, S2-19.jpg, 2, 2, blue, 1, 2, 1, 0.9765, 1.6000, 2
 21, 1, 28, S2-19.jpg, 2, 1, red, 0, 1, 0, 0.7361, 1.3833, 2
 21, 1, 29, S1-15.jpg, 1, 2, blue, 0, 2, 0, 0.3991, 1.5333, 2
 21, 1, 30, S1-15.jpg, 1, 1, red, 1, 1, 1, 0.7523, 1.6167, 2
 21, 1, 1, S2-19.jpg, 2, 2, blue, 1, 2, 1, 0.3417, 1.2500, 2
 21, 1, 2, S2-19.jpg, 2, 2, blue, 1, 2, 1, 0.3142, 3.2500, 2
 21, 1, 3, S1-15.jpg, 1, 1, red, 1, 1, 1, 0.5751, 1.2833, 2
 21, 1, 4, S1-15.jpg, 1, 3, yellow, NaN, 2, 0, 0.8106, 1.5500, 2
 21, 1, 5, S2-19.jpg, 2, 3, yellow, NaN, 2, 1, 0.6676, 1.4000, 2
 21, 1, 6, S2-19.jpg, 2, 2, blue, 1, 1, 0, 0.9221, 1.2500, 2
 21, 1, 7, S1-15.jpg, 1, 1, red, 1, 2, 0, 0.5914, 1.3167, 2
 21, 1, 8, S2-19.jpg, 2, 2, blue, 1, 2, 1, 0.6489, 1.4333, 2
 21, 1, 9, S1-15.jpg, 1, 1, red, 1, 1, 1, 0.8774, 1.3333, 2
 21, 1, 10, S1-15.jpg, 1, 1, red, 1, 1, 1, 0.2948, 1.2500, 2
 21, 1, 11, S1-15.jpg, 1, 3, yellow, NaN, 2, 0, 0.5157, 1.3500, 2
 21, 1, 12, S1-15.jpg, 1, 3, yellow, NaN, 1, 1, 0.0003, 1.5833, 2
 21, 1, 13, S2-19.jpg, 2, 1, red, 0, 2, 1, 0.4033, 1.2500, 2
 21, 1, 14, S2-19.jpg, 2, 2, blue, 1, 2, 1, 0.4883, 1.4500, 2
 21, 1, 15, S2-19.jpg, 2, 3, yellow, NaN, 2, 1, 0.6358, 1.3000, 2
 21, 1, 16, S2-19.jpg, 2, 3, yellow, NaN, 2, 1, 0.5276, 1.5667, 2
 21, 1, 17, S1-15.jpg, 1, 1, red, 1, 1, 1, 0.9836, 1.5000, 2
 21, 1, 18, S2-19.jpg, 2, 2, blue, 1, 2, 1, 0.7465, 1.4833, 2
 21, 1, 19, S1-15.jpg, 1, 2, blue, 0, 2, 0, 0.8700, 1.2500, 2
 21, 1, 20, S1-15.jpg, 1, 1, red, 1, 2, 0, 0.3708, 1.2500, 2
 21, 1, 21, S1-15.jpg, 1, 1, red, 1, 2, 0, 0.8873, 1.3667, 2
 21, 1, 22, S1-15.jpg, 1, 3, yellow, NaN, 2, 0, 1.5831, 1.2500, 2
 21, 1, 23, S2-19.jpg, 2, 2, blue, 1, 2, 1, 1.7829, 1.5167, 2
 21, 1, 24, S2-19.jpg, 2, 3, yellow, NaN, 1, 0, 1.3733, 1.4167, 2
 21, 1, 25, S2-19.jpg, 2, 3, yellow, NaN, 1, 0, 1.4670, 1.2500, 2
 21, 1, 26, S1-15.jpg, 1, 3, yellow, NaN, 1, 1, 0.9339, 1.4667, 2
 21, 1, 27, S2-19.jpg, 2, 2, blue, 1, 2, 1, 0.8012, 1.6000, 2
 21, 1, 28, S2-19.jpg, 2, 1, red, 0, 2, 1, 1.2075, 1.3833, 2
 21, 1, 29, S1-15.jpg, 1, 2, blue, 0, 1, 1, 1.9163, 1.5333, 2
