subID,trial,targetIdx,imgPath,stair1,stair2
12,1,1,S1-15.jpg,0.634258305431455,0.534258305431454
12,2,1,S1-15.jpg,0.596357985683836,0.614759658408964
12,3,1,S1-15.jpg,0.683533972123939,0.593449978105948
12,4,1,S1-15.jpg,0.73877946127019,0.642873597668654
12,5,1,S1-15.jpg,0.77288008528532,0.628401549131294
12,6,1,S1-15.jpg,0.763340983466485,0.612942861082547
12,7,1,S1-15.jpg,0.75283082856127,0.648724197213066
12,8,1,S1-15.jpg,0.741476407585339,0.675196373384711
12,9,1,S1-15.jpg,0.729483742269877,0.666884129935509
12,10,1,S1-15.jpg,0.717153910356799,0.68695712036502
12,11,1,S1-15.jpg,0.746698856442312,0.701036299790109
12,12,1,S1-15.jpg,0.770572655503474,0.696551275786921
12,13,1,S1-15.jpg,0.762605159420089,0.691653037355898
12,14,1,S1-15.jpg,0.754224343506997,0.703170448865191
12,15,1,S1-15.jpg,0.745548153639141,0.699256175649053
12,16,1,S1-15.jpg,0.766717973344038,0.708717478445203
12,17,1,S1-15.jpg,0.783897968587532,0.705447163531993
12,18,1,S1-15.jpg,0.796630528880134,0.701934768210174
12,19,1,S1-15.jpg,0.806845257887396,0.698134046113649
12,20,1,S1-15.jpg,0.803412487829879,0.694027526750834
12,21,1,S1-15.jpg,0.811388210813044,0.703455995661692
12,22,1,S1-15.jpg,0.817535078765381,0.711004132057598
12,23,1,S1-15.jpg,0.822404752377892,0.716970799463148
12,24,1,S1-15.jpg,0.820777016127991,0.721842451033013
12,25,1,S1-15.jpg,0.824664423710349,NaN
12,26,1,S1-15.jpg,0.823248789121552,NaN
12,1,2,S2-19.jpg,0.634258305431455,0.534258305431454
12,2,2,S2-19.jpg,0.596357985683836,0.614759658408964
12,3,2,S2-19.jpg,0.683533972123939,0.659414494947073
12,4,2,S2-19.jpg,0.658036635777462,0.647122388406046
12,5,2,S2-19.jpg,0.718052528945275,0.633645121909983
12,6,2,S2-19.jpg,0.758319580461916,0.619307004405749
12,7,2,S2-19.jpg,0.746605218648166,0.653400496438042
12,8,2,S2-19.jpg,0.77493066851146,0.642404565942078
12,9,2,S2-19.jpg,0.766441566249469,0.63083170764279
12,10,2,S2-19.jpg,0.787204423091774,0.618948527644629
12,11,2,S2-19.jpg,0.780758545067179,0.607023257789344
12,12,2,S2-19.jpg,0.79601418932073,0.635516875194161
12,13,2,S2-19.jpg,0.790970094245608,0.660341500908299
12,14,2,S2-19.jpg,0.802901601257112,0.679670075215339
12,15,2,S2-19.jpg,0.811533046193032,0.672965890810556
12,16,2,S2-19.jpg,0.817942111737063,0.688539329457798
12,17,2,S2-19.jpg,0.815655886564062,0.682990348176589
12,18,2,S2-19.jpg,0.813204218723487,0.677093993875587
12,19,2,S2-19.jpg,0.818968203947828,0.67081488031145
12,20,2,S2-19.jpg,0.816839022051024,0.685493837069896
12,21,2,S2-19.jpg,0.821877075754291,0.680101428033403
12,22,2,S2-19.jpg,0.825544593092744,0.692756076063514
12,23,2,S2-19.jpg,0.824171310943968,0.688193225915096
12,24,2,S2-19.jpg,0.822727956623142,0.683340591480831
12,25,2,S2-19.jpg,NaN,0.6782742341425
12,26,2,S2-19.jpg,NaN,0.690405073952736
13,1,1,S3-12.jpg,0.634258305431455,0.534258305431454
13,2,1,S3-12.jpg,0.596357985683836,0.614759658408964
13,3,1,S3-12.jpg,0.683533972123939,0.593449978105948
13,4,1,S3-12.jpg,0.73877946127019,0.642873597668654
13,5,1,S3-12.jpg,0.77288008528532,0.628401549131294
13,6,1,S3-12.jpg,0.763340983466485,0.663048217528652
13,7,1,S3-12.jpg,0.78573367408213,0.685357632021597
13,8,1,S3-12.jpg,0.801220930858186,0.678320753160347
13,9,1,S3-12.jpg,0.796544920678638,0.670601854207706
13,10,1,S3-12.jpg,0.807925069664874,0.688885684711855
13,11,1,S3-12.jpg,0.804305007208357,0.702035955314334
13,12,1,S3-12.jpg,0.8126487095365,0.711191514520766
13,13,1,S3-12.jpg,0.80981212277608,0.708069086150421
13,14,1,S3-12.jpg,0.816671150828766,0.704625744979642
13,15,1,S3-12.jpg,0.814278798480266,0.700950345995814
13,16,1,S3-12.jpg,0.819887587321533,0.709809189012095
13,17,1,S3-12.jpg,0.817800311283726,0.716442890773961
13,18,1,S3-12.jpg,0.822600377084704,0.714096585860525
13,19,1,S3-12.jpg,0.826153001008818,0.719583251638219
13,20,1,S3-12.jpg,0.829275793171273,0.717525048185278
13,21,1,S3-12.jpg,0.828140516089015,0.7223045650242
13,22,1,S3-12.jpg,0.826949720992679,0.725851612635352
13,23,1,S3-12.jpg,0.825694803950344,0.728976599725712
13,24,1,S3-12.jpg,0.824365951076938,0.731305679162181
13,25,1,S3-12.jpg,0.822974038810419,0.733065099242902
13,1,2,S4-20.jpg,0.634258305431455,0.534258305431454
13,2,2,S4-20.jpg,0.714759658408963,0.496357985683836
13,3,2,S4-20.jpg,0.759414494947073,0.459414585222726
13,4,2,S4-20.jpg,0.747122388406046,0.541775895355015
13,5,2,S4-20.jpg,0.776849124385137,0.512791635082614
13,6,2,S4-20.jpg,0.768283047644688,0.578437233126169
13,7,2,S4-20.jpg,0.788912306353112,0.555857908096473
13,8,2,S4-20.jpg,0.802672720943418,0.53386717514943
13,9,2,S4-20.jpg,0.798346088155227,0.51338201546703
13,10,2,S4-20.jpg,0.808870893812956,0.494577409465156
13,11,2,S4-20.jpg,0.816253808754659,0.536679325054709
13,12,2,S4-20.jpg,0.813760776285603,0.58150923623817
13,13,2,S4-20.jpg,0.811094805656253,0.56459753867478
13,14,2,S4-20.jpg,0.808078259285589,0.548581429793157
13,15,2,S4-20.jpg,0.815261102682866,0.533639782654995
13,16,2,S4-20.jpg,0.812802875276553,0.567100927986568
13,17,2,S4-20.jpg,0.810179862117844,0.602718157871462
13,18,2,S4-20.jpg,0.807206049233381,0.589006274913204
13,19,2,S4-20.jpg,0.804034581654607,0.621135885230609
13,20,2,S4-20.jpg,0.800680753791337,0.608864001946854
13,21,2,S4-20.jpg,0.808687755576364,0.596839155689701
13,22,2,S4-20.jpg,0.805751680184735,0.585246782887276
13,23,2,S4-20.jpg,0.812838497289498,0.574246977340017
13,24,2,S4-20.jpg,0.81041331256988,0.598617096159708
13,25,2,S4-20.jpg,0.807721378447624,0.588116889344201
14,1,1,S3-12.jpg,0.634258305431455,0.534258305431454
14,2,1,S3-12.jpg,0.714759658408963,0.614759658408964
14,3,1,S3-12.jpg,0.693449978105948,0.659414494947073
14,4,1,S3-12.jpg,0.742873597668654,0.685664376363148
14,5,1,S3-12.jpg,0.728401549131294,0.701890827161066
14,6,1,S3-12.jpg,0.712942861082547,0.711836909020897
14,7,1,S3-12.jpg,0.697029421030675,0.718682039425786
14,8,1,S3-12.jpg,0.735166955675267,0.723605493998657
14,9,1,S3-12.jpg,0.722333624906177,0.727202563032453
14,10,1,S3-12.jpg,0.709332061652141,0.730266806380901
14,11,1,S3-12.jpg,0.696403014219175,0.732311019281866
14,12,1,S3-12.jpg,0.683738771092549,0.733974264686481
14,13,1,S3-12.jpg,0.712311945225782,0.735372760104142
14,14,1,S3-12.jpg,0.73911743022005,0.736674376828573
14,15,1,S3-12.jpg,0.762866639821034,0.737815087398043
14,16,1,S3-12.jpg,0.781440319695632,0.737376862657106
14,17,1,S3-12.jpg,0.79572723916492,0.736922403790556
14,18,1,S3-12.jpg,0.806691950216634,0.736449991459434
14,19,1,S3-12.jpg,0.814585786452308,0.737598432872743
14,20,1,S3-12.jpg,0.82022388430164,0.738627279302604
14,21,1,S3-12.jpg,0.824414936638813,0.739566412460067
14,22,1,S3-12.jpg,0.822922780877094,0.739192940150235
14,23,1,S3-12.jpg,0.821315742798914,0.738810021265981
14,24,1,S3-12.jpg,0.825152116951994,0.73972770920314
14,25,1,S3-12.jpg,0.823731911230865,0.740356798421624
14,1,2,S4-20.jpg,0.634258305431455,0.534258305431454
14,2,2,S4-20.jpg,0.714759658408963,0.496357985683836
14,3,2,S4-20.jpg,0.759414494947073,0.459414585222726
14,4,2,S4-20.jpg,0.747122388406046,0.541775895355015
14,5,2,S4-20.jpg,0.776849124385137,0.512791635082614
14,6,2,S4-20.jpg,0.768283047644688,0.578437233126169
14,7,2,S4-20.jpg,0.758893475122416,0.555857908096473
14,8,2,S4-20.jpg,0.781346702997268,0.53386717514943
14,9,2,S4-20.jpg,0.774190824024497,0.51338201546703
14,10,2,S4-20.jpg,0.766482525541616,0.5597465537778
14,11,2,S4-20.jpg,0.7581968878075,0.604687964912526
14,12,2,S4-20.jpg,0.749528838991676,0.588404321880262
14,13,2,S4-20.jpg,0.740632983167923,0.572371342041615
14,14,2,S4-20.jpg,0.761474997789628,0.608915497905299
14,15,2,S4-20.jpg,0.753782047447039,0.642230136852649
14,16,2,S4-20.jpg,0.771509739845966,0.630532870072804
14,17,2,S4-20.jpg,0.764821992403524,0.618591226277227
14,18,2,S4-20.jpg,0.757910766800964,0.646847196965979
14,19,2,S4-20.jpg,0.750775988796162,0.636597840013718
14,20,2,S4-20.jpg,0.743662139954829,0.626195029362502
14,21,2,S4-20.jpg,0.736565293177994,0.651061748768962
14,22,2,S4-20.jpg,0.72943395717276,0.642033601597087
14,23,2,S4-20.jpg,0.745955801975062,0.663002603483152
14,24,2,S4-20.jpg,0.76202006074247,0.655174430847134
14,25,2,S4-20.jpg,0.755909613956718,0.674300718890095
15,1,1,S3-12.jpg,0.634258305431455,0.534258305431454
15,2,1,S3-12.jpg,0.596357985683836,0.614759658408964
15,3,1,S3-12.jpg,0.683533972123939,0.593449978105948
15,4,1,S3-12.jpg,0.658036635777462,0.642873597668654
15,5,1,S3-12.jpg,0.718052528945275,0.673793199850503
15,6,1,S3-12.jpg,0.758319580461916,0.664614294832903
15,7,1,S3-12.jpg,0.783825567154389,0.686009482674967
15,8,1,S3-12.jpg,0.799538286895996,0.679135443912912
15,9,1,S3-12.jpg,0.794506309495379,0.695590969901548
15,10,1,S3-12.jpg,0.806090232089794,0.690355082080465
15,11,1,S3-12.jpg,0.802216651956821,0.702818514555422
15,12,1,S3-12.jpg,0.811374982550728,0.698710756424841
15,13,1,S3-12.jpg,0.808268676192317,0.694151521065574
15,14,1,S3-12.jpg,0.815696562606725,0.704641630140368
15,15,1,S3-12.jpg,0.821356298657865,0.712499340366238
15,16,1,S3-12.jpg,0.819521698011082,0.718531604774959
15,17,1,S3-12.jpg,0.823871460294259,0.723176129908076
15,18,1,S3-12.jpg,0.827229654216772,0.721595667095642
15,19,1,S3-12.jpg,0.830176656813601,0.725363860431103
15,20,1,S3-12.jpg,0.829118592503967,0.728631176818759
15,21,1,S3-12.jpg,0.827970922282224,0.727456824760854
15,22,1,S3-12.jpg,0.830634841033433,0.730277822732704
15,23,1,S3-12.jpg,0.829731943203997,0.729269805802654
15,24,1,S3-12.jpg,0.831811262443307,0.728153975918689
15,25,1,S3-12.jpg,0.83348238330524,0.730715903516424
15,1,2,S4-20.jpg,0.634258305431455,0.534258305431454
15,2,2,S4-20.jpg,0.596357985683836,0.496357985683836
15,3,2,S4-20.jpg,0.683533972123939,0.583533972123939
15,4,2,S4-20.jpg,0.658036635777462,0.63877946127019
15,5,2,S4-20.jpg,0.718052528945275,0.623059597660094
15,6,2,S4-20.jpg,0.758319580461916,0.606301661348471
15,7,2,S4-20.jpg,0.746605218648166,0.646675325153451
15,8,2,S4-20.jpg,0.77493066851146,0.634147716797933
15,9,2,S4-20.jpg,0.766441566249469,0.621078481300608
15,10,2,S4-20.jpg,0.787204423091774,0.607711094189366
15,11,2,S4-20.jpg,0.780758545067179,0.639563916484349
15,12,2,S4-20.jpg,0.79601418932073,0.665249610496759
15,13,2,S4-20.jpg,0.790970094245608,0.685278013102732
15,14,2,S4-20.jpg,0.802901601257112,0.699703224700828
15,15,2,S4-20.jpg,0.798892892265849,0.709617467510949
15,16,2,S4-20.jpg,0.794454770805629,0.716689919085278
15,17,2,S4-20.jpg,0.789720538384743,0.722077728434602
15,18,2,S4-20.jpg,0.784578772930928,0.720350211803341
15,19,2,S4-20.jpg,0.796362199093341,0.718307130852421
15,20,2,S4-20.jpg,0.806171890164665,0.716094606998405
15,21,2,S4-20.jpg,0.802819648649375,0.721425914176903
15,22,2,S4-20.jpg,0.799234350690108,0.725229731355385
15,23,2,S4-20.jpg,0.795342613355096,0.72381879798332
15,24,2,S4-20.jpg,0.791200817014842,0.722331841128954
15,25,2,S4-20.jpg,0.800870778076292,0.720732256013854
17,1,1,S1-15.jpg,0.634258305431455,0.534258305431454
17,2,1,S1-15.jpg,0.596357985683836,0.614759658408964
17,3,1,S1-15.jpg,0.559414585222726,0.593449978105948
17,4,1,S1-15.jpg,0.526342701837916,0.642873597668654
17,5,1,S1-15.jpg,0.600913614369679,0.628401549131294
17,6,1,S1-15.jpg,0.672428130036706,0.612942861082547
17,7,1,S1-15.jpg,0.727017657338152,0.597029421030675
17,8,1,S1-15.jpg,0.710086147157543,0.635166955675267
17,9,1,S1-15.jpg,0.692531664772674,0.664888806647581
17,10,1,S1-15.jpg,0.674940413409229,0.684935457010978
17,11,1,S1-15.jpg,0.714815173684847,0.678247964212434
17,12,1,S1-15.jpg,0.700018846802171,0.670916651360585
17,13,1,S1-15.jpg,0.685351153464524,0.663092706838232
17,14,1,S1-15.jpg,0.720639856061949,0.654873406632676
17,15,1,S1-15.jpg,0.750232302953314,0.64637145182055
17,16,1,S1-15.jpg,0.739735275089816,0.667018980512673
17,17,1,S1-15.jpg,0.728945218328517,0.659629726671286
17,18,1,S1-15.jpg,0.718082085127152,0.677003425656106
17,19,1,S1-15.jpg,0.743813283287521,0.691393395173283
17,20,1,S1-15.jpg,0.76532463248666,0.702256424943762
17,21,1,S1-15.jpg,0.757284590723175,0.69842508894642
17,22,1,S1-15.jpg,0.776473070916114,0.707636831414433
17,23,1,S1-15.jpg,0.769723050649374,0.71472452779429
17,24,1,S1-15.jpg,0.762698110545024,0.712313505320228
17,25,1,S1-15.jpg,0.755460926654845,0.718057468723638
17,1,2,S2-19.jpg,0.634258305431455,0.534258305431454
17,2,2,S2-19.jpg,0.596357985683836,0.614759658408964
17,3,2,S2-19.jpg,0.683533972123939,0.593449978105948
17,4,2,S2-19.jpg,0.658036635777462,0.642873597668654
17,5,2,S2-19.jpg,0.632259268930085,0.673793199850503
17,6,2,S2-19.jpg,0.607509891317635,0.693108753644977
17,7,2,S2-19.jpg,0.665608240477862,0.687127044503886
17,8,2,S2-19.jpg,0.716115055589804,0.701761084345852
17,9,2,S2-19.jpg,0.69952000732311,0.711371446116142
17,10,2,S2-19.jpg,0.738299071746704,0.71814955558237
17,11,2,S2-19.jpg,0.725223357480063,0.715788128635483
17,12,2,S2-19.jpg,0.711738351504203,0.721509804874695
17,13,2,S2-19.jpg,0.742804070443334,0.719683153746454
17,14,2,S2-19.jpg,0.731609970990761,0.724039759387101
17,15,2,S2-19.jpg,0.720173291347413,0.722513460280178
17,16,2,S2-19.jpg,0.708791286130939,0.726144250287621
17,17,2,S2-19.jpg,0.697648288920657,0.72478566158744
17,18,2,S2-19.jpg,0.686901796213187,0.72793120047335
17,19,2,S2-19.jpg,0.712299341877344,0.730628626011762
17,20,2,S2-19.jpg,0.736052190880046,0.732529539202348
17,21,2,S2-19.jpg,0.726571222764506,0.731815160736006
17,22,2,S2-19.jpg,0.749110520439235,0.73349576261233
17,23,2,S2-19.jpg,0.740630510300298,0.732852045030582
17,24,2,S2-19.jpg,0.760382666399525,0.73435764439605
17,25,2,S2-19.jpg,0.752875182304142,0.733771302047271
18,1,1,S3-12.jpg,0.634258305431455,0.534258305431454
18,2,1,S3-12.jpg,0.596357985683836,0.496357985683836
18,3,1,S3-12.jpg,0.683533972123939,0.583533972123939
18,4,1,S3-12.jpg,0.658036635777462,0.558036635777462
18,5,1,S3-12.jpg,0.718052528945275,0.618052528945275
18,6,1,S3-12.jpg,0.699989709363892,0.658319580461916
18,7,1,S3-12.jpg,0.681460653726356,0.683825567154389
18,8,1,S3-12.jpg,0.724420259421043,0.699538286895996
18,9,1,S3-12.jpg,0.756940791851996,0.710267462994042
18,10,1,S3-12.jpg,0.746032414733566,0.717500279493535
18,11,1,S3-12.jpg,0.73450073668172,0.715040592585542
18,12,1,S3-12.jpg,0.722699528560986,0.721097989049918
18,13,1,S3-12.jpg,0.750073740665908,0.719152245273597
18,14,1,S3-12.jpg,0.772717772769868,0.716930119230773
18,15,1,S3-12.jpg,0.789598509698444,0.714555188821316
18,16,1,S3-12.jpg,0.783802133470997,0.720105939867564
18,17,1,S3-12.jpg,0.797195824525844,0.724262434811944
18,18,1,S3-12.jpg,0.792497936777588,0.7275346736885
18,19,1,S3-12.jpg,0.803452880179013,0.72627902793784
18,20,1,S3-12.jpg,0.811660831654881,0.729381572230201
18,21,1,S3-12.jpg,0.808765227275102,0.731603728738351
18,22,1,S3-12.jpg,0.805556139203947,0.730821106544225
18,23,1,S3-12.jpg,0.802117255207418,0.732670985491152
18,24,1,S3-12.jpg,0.810202306676712,0.734211475048273
18,25,1,S3-12.jpg,0.816467622897341,0.735528746677789
18,1,2,S4-20.jpg,0.634258305431455,0.534258305431454
18,2,2,S4-20.jpg,0.596357985683836,0.614759658408964
18,3,2,S4-20.jpg,0.683533972123939,0.593449978105948
18,4,2,S4-20.jpg,0.73877946127019,0.642873597668654
18,5,2,S4-20.jpg,0.77288008528532,0.673793199850503
18,6,2,S4-20.jpg,0.763340983466485,0.664614294832903
18,7,2,S4-20.jpg,0.75283082856127,0.654541260911485
18,8,2,S4-20.jpg,0.741476407585339,0.643697749191778
18,9,2,S4-20.jpg,0.729483742269877,0.668932421635127
18,10,2,S4-20.jpg,0.757899724107316,0.660304042240766
18,11,2,S4-20.jpg,0.779752953195937,0.680707167194144
18,12,2,S4-20.jpg,0.795354390727647,0.695677192128613
18,13,2,S4-20.jpg,0.790234031394096,0.6906709828662
18,14,2,S4-20.jpg,0.802407767907396,0.702526953159024
18,15,2,S4-20.jpg,0.811197620264258,0.711187328572527
18,16,2,S4-20.jpg,0.808147603072089,0.717631447596243
18,17,2,S4-20.jpg,0.804794679391714,0.715334454843514
18,18,2,S4-20.jpg,0.81245910681261,0.712869903032952
18,19,2,S4-20.jpg,0.818409650731797,0.710239714484613
18,20,2,S4-20.jpg,0.816232341999779,0.716562304367067
18,21,2,S4-20.jpg,0.813910054013114,0.721660352960546
18,22,2,S4-20.jpg,0.811449448633353,0.725359182122019
18,23,2,S4-20.jpg,0.808727377271574,0.728585685993922
18,24,2,S4-20.jpg,0.815195044244712,0.727421564599551
18,25,2,S4-20.jpg,0.812888296505157,0.726197472158197
19,1,1,S1-15.jpg,0.634258305431455,0.534258305431454
19,2,1,S1-15.jpg,0.596357985683836,0.614759658408964
19,3,1,S1-15.jpg,0.683533972123939,0.659414494947073
19,4,1,S1-15.jpg,0.658036635777462,0.685664376363148
19,5,1,S1-15.jpg,0.718052528945275,0.701890827161066
19,6,1,S1-15.jpg,0.758319580461916,0.711836909020897
19,7,1,S1-15.jpg,0.746605218648166,0.708637231811685
19,8,1,S1-15.jpg,0.733971416203852,0.705012338231199
19,9,1,S1-15.jpg,0.720766438113404,0.713833614652523
19,10,1,S1-15.jpg,0.751819870281537,0.71109868348037
19,11,1,S1-15.jpg,0.775334865534491,0.717710643194609
19,12,1,S1-15.jpg,0.793040128195317,0.722738116913847
19,13,1,S1-15.jpg,0.80477233959523,0.72638485990218
19,14,1,S1-15.jpg,0.800882199591888,0.7295586179253
19,15,1,S1-15.jpg,0.810299414727228,0.728411077147036
19,16,1,S1-15.jpg,0.8171015062135,0.727206324149107
19,17,1,S1-15.jpg,0.814721325237542,0.725935296322579
19,18,1,S1-15.jpg,0.81219163081684,0.729079359445363
19,19,1,S1-15.jpg,0.809408518690412,0.731391825092392
19,20,1,S1-15.jpg,0.816081741286374,0.73059544113031
19,21,1,S1-15.jpg,0.813727918549273,0.732479242083674
19,22,1,S1-15.jpg,0.811229839129512,0.731769024215787
19,23,1,S1-15.jpg,0.808450758883058,0.733438546762557
19,24,1,S1-15.jpg,0.805430693515938,0.732797546780597
19,25,1,S1-15.jpg,0.812747279609633,0.734295913000166
19,1,2,S2-19.jpg,0.634258305431455,0.534258305431454
19,2,2,S2-19.jpg,0.596357985683836,0.614759658408964
19,3,2,S2-19.jpg,0.559414585222726,0.659414494947073
19,4,2,S2-19.jpg,0.641775895355015,0.647122388406046
19,5,2,S2-19.jpg,0.612791635082614,0.676849124385137
19,6,2,S2-19.jpg,0.585364975362347,0.668283047644688
19,7,2,S2-19.jpg,0.650024243083793,0.658893475122416
19,8,2,S2-19.jpg,0.705455453840104,0.648795737236232
19,9,2,S2-19.jpg,0.686804121129311,0.672880126123437
19,10,2,S2-19.jpg,0.730958734904701,0.690081039743454
19,11,2,S2-19.jpg,0.763149251483662,0.684260204205764
19,12,2,S2-19.jpg,0.752903412952075,0.678006980846011
19,13,2,S2-19.jpg,0.741929149614683,0.671251231792723
19,14,2,S2-19.jpg,0.730431246063219,0.664145592853676
19,15,2,S2-19.jpg,0.718699387698387,0.68052479011945
19,16,2,S2-19.jpg,0.70698394808815,0.674469636869146
19,17,2,S2-19.jpg,0.695494291609579,0.668126788593942
19,18,2,S2-19.jpg,0.684407905231098,0.683376511186284
19,19,2,S2-19.jpg,0.673997863630585,0.67792114325651
19,20,2,S2-19.jpg,0.697565060244974,0.672172464595366
19,21,2,S2-19.jpg,0.687502061304601,0.685497099275804
19,22,2,S2-19.jpg,0.677935286183578,0.680433050862108
19,23,2,S2-19.jpg,0.668898809958616,0.67521216040401
19,24,2,S2-19.jpg,0.660418971684653,0.669726446202826
19,25,2,S2-19.jpg,0.679757629778813,0.682503852761463
20,1,1,S3-12.jpg,0.634258305431455,0.534258305431454
20,2,1,S3-12.jpg,0.596357985683836,0.496357985683836
20,3,1,S3-12.jpg,0.559414585222726,0.583533972123939
20,4,1,S3-12.jpg,0.526342701837916,0.63877946127019
20,5,1,S3-12.jpg,0.600913614369679,0.67288008528532
20,6,1,S3-12.jpg,0.672428130036706,0.663340983466485
